,Title,Original search,Url
0,凌源市水务局凌源市自来水存量资产PPP项目公开招 …,凌源市自来水存量资产PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201911/t20191107_13284721.htm
1,PPP采购公告 - 中国政府采购网,黑龙江省大庆市林甸经济开发区污水处理厂PPP项目,http://www.ccgp.gov.cn/ppp/pppzbgg/index_2.html
2,PPP中标公告 - 中国政府采购网,黑龙江省绥化市经开区（国家级）污水处理工程项目,http://www.ccgp.gov.cn/ppp/pppzhbgg/index_24.html
3,海城市财政局海城市自来水存量资产PPP项目预中标 …,凌源市自来水存量资产PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201912/t20191219_13602391.htm
4,海城市财政局海城市自来水存量资产PPP项目资格预 …,凌源市自来水存量资产PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201912/t20191211_13538868.htm
5,海城市财政局海城市自来水存量资产PPP项目中标公告,凌源市自来水存量资产PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201912/t20191227_13657836.htm
6,运用PPP模式盘活存量公共资产的实现路径和建议_ …,凌源市自来水存量资产PPP项目,http://www.ccgp.gov.cn/ppp/llyj/201708/t20170801_8610337.htm
7,PPP资格预审公告 - 中国政府采购网,鹤峰县乡镇生活污水处理厂PPP项目,http://www.ccgp.gov.cn/ppp/pppzgysgg/
8,大连市中心城区生活垃圾焚烧发电二期工程PPP项目 …,大连市瓦房店市一碗水（二期）PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181119_11137472.htm
9,瓦房店市农村饮水工程饮用水消毒剂采购项目采购公告,大连市瓦房店市一碗水（二期）PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180625_10153578.htm
10,瓦房店市增量配电业务改革试点园区配电网投资建设 …,大连市瓦房店市一碗水（二期）PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201708/t20170814_8680116.htm
11,瓦房店市应急供水工程项目可研报告编制及施工图设 …,大连市瓦房店市一碗水（二期）PPP项目,http://www.ccgp.gov.cn/cggg/dfbx/gkzb/201507/t20150717_4448650.shtml
12,瓦房店岭东污水处理厂中水回用工程项目环境影响评 …,大连市瓦房店市一碗水（二期）PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201610/t20161010_7408449.htm
13,大连市公交智能系统二期工程车载终端安装改造采购 …,大连市瓦房店市一碗水（二期）PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201704/t20170401_8070090.htm
14,ccgp.gov.cn - 中国政府采购网,黑龙江省绥化市经开区（国家级）污水处理工程项目,http://www.ccgp.gov.cn/
15,地方公告_中国政府采购网 - ccgp.gov.cn,齐河城西污水处理厂,http://www.ccgp.gov.cn/cggg/dfgg/index_5.htm
16,榕江县城乡污水一体化PPP项目采购需求公示资格预 …,榕江县城镇供水PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201911/t20191126_13421048.htm
17,榕江县城乡供水PPP项目“一方案两报告”编制服务采 …,榕江县城镇供水PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/201812/t20181227_11431967.htm
18,册亨县城镇供水工程PPP项目,榕江县城镇供水PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201712/t20171220_9367128.htm
19,普安县城镇供水一体化ppp项目购买第三方服务采购 …,榕江县城镇供水PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202001/t20200116_13770391.htm
20,册亨县城镇供水工程PPP项目采购公告,榕江县城镇供水PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180213_9590954.htm
21,册亨县城镇供水工程PPP项目中标（成交）公告,榕江县城镇供水PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201803/t20180309_9649474.htm
22,元阳县城镇综合供水改扩建工程PPP 项目资格预审公告,榕江县城镇供水PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201701/t20170118_7870943.htm
