,采购项目名称,品目,采购单位,行政区域,公告时间,获取招标文件时间,招标文件售价,获取招标文件的地点,开标时间,开标地点,预算金额,项目联系人,项目联系电话,采购单位地址,采购单位联系方式,代理机构名称,代理机构地址,代理机构联系方式,附件1,附件2,Date,本项目招标公告日期,中标日期,评审专家名单,总中标金额,提交文件截止时间,资格审查日期,获取谈判文件的地点,获取谈判文件的时间,获取磋商文件时间,获取磋商文件地点,响应文件递交时间,响应文件递交地点,响应文件开启时间,响应文件开启地点,采购人,采购人地址,采购人联系方式,成交日期,谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单,总成交金额,首次公告日期,更正日期,附件3,附件4,定标日期,评标委员会成员名单,报名时间,报名地点,附件5,谈判小组、询价小组成员名单及单一来源采购人员名单
http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201911/t20191107_13284721.htm,凌源市自来水存量资产PPP项目,服务/其他服务,凌源市水务局,凌源市,2019年11月07日  21:59, 2019年11月08日  08:30  至  2019年11月14日  16:00,￥0,朝阳市公共资源交易中心凌源分中心,2019年12月02日  09:30,朝阳市公共资源交易中心凌源分中心第一开标区,￥19307.290000万元（人民币）,魏立强,0421-6808019,凌源市南大街南段2C-11,董冰霜  13591947575,朝阳市公共资源交易中心凌源分中心,凌源市铁西二街2号,魏立强  0421-6808019,凌源市自来水存量资产PPP项目公告.docx,凌源市自来水存量资产PPP项目公开招标（资格预审）文件.docx,2019年11月07日 21:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/ppp/pppzbgg/index_2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/ppp/pppzhbgg/index_24.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201912/t20191219_13602391.htm,海城市自来水存量资产PPP项目,货物/电力、城市燃气、蒸汽和热水、水/水/处理过水/生活饮用水,海城市财政局,鞍山市,2019年12月19日  16:22,,,,,,,王女士,18840917291,海城市中街北路12号,尚先生0412-3403121,北京中智信德管理咨询有限公司,北京市丰台区南窑村3号9号楼A0043,王女士18840917291,,,2019年12月19日 16:22,2019年11月19日,2019年12月19日,徐天光，李勇，尚尔仲，邬家宁，许家恒,￥125700.000000 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201912/t20191211_13538868.htm,海城市自来水存量资产PPP项目,服务/能源的生产和分配服务/水的生产和分配,海城市财政局,鞍山市,2019年12月11日  11:14,,,,,,,王女士,18840917291,海城市中街北路12号,尚先生0412-3403121,北京中智信德管理咨询有限公司,北京市丰台区南窑村3号9号楼A0043,王女士18840917291,,,2019年12月11日 11:14,2019年11月19日,2019年12月11日,项阳、 李学峰、曹新珠、王德思、方捷、尚尔仲、张金成,￥0.000000 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201912/t20191227_13657836.htm,海城市自来水存量资产PPP项目,服务/能源的生产和分配服务/水的生产和分配,海城市财政局,鞍山市,2019年12月27日  08:54,,,,,,,王女士,18840917291,海城市中街北路12号,尚先生0412-3403121,北京中智信德管理咨询有限公司,北京市丰台区南窑村3号9号楼A0043,王女士18840917291,,,2019年12月27日 08:54,2019年11月19日,2019年12月27日,张广楠、张治海、陈丽范、韩宁、高榕、尚尔仲、张金成,￥125700.000000 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/ppp/llyj/201708/t20170801_8610337.htm,,,,,,,,,,,,,,,,,,,,,2017年08月01日  08:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/ppp/pppzgysgg/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181119_11137472.htm,,,,,,,,,,,,,,,,,,,,,2018年11月19日 11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180625_10153578.htm,,,,,,,,,,,,,,,,,,,,,2018年06月25日 09:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201708/t20170814_8680116.htm,,,,,,,,,,,,,,,,,,,,,2017年08月14日 15:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfbx/gkzb/201507/t20150717_4448650.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201610/t20161010_7408449.htm,,,,,,,,,,,,,,,,,,,,,2016年10月10日 09:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201704/t20170401_8070090.htm,,,,,,,,,,,,,,,,,,,,,2017年04月01日 13:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/index_5.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
